id,title,date,image,tags,author,brand,description
2021-02-19-collezione-adidas-2021,Adidas,2021-02-19,/images/wiki/brands/adidas.jpg,news,saint,adidas,"Storico brand sportivo, apporta annualmente qualità ed innovazione al mondo del padel, modello unico di questa collezione è il “Greenpadel” in materiali 100% rinnovabili."
2021-02-26-collezione-babolat-2021,Babolat,2021-02-26,/images/wiki/brands/babolat.jpg,news,saint,babolat,"Nuovi modelli dalle forme esuberanti per modelli di racchette votati al gioco aggressivo. I tre modelli storici Babolat: Counter, Technical e Air in nuove versioni."
2021-03-05-collezione-bullpadel-2021,Bullpadel,2021-03-05,/images/wiki/brands/bullpadel.jpg,news,saint,bullpadel,"Storico marchio spagnolo, in questa collezione 2021 presenta cinque linee, per tutte le tipologie di giocatori. I modelli dell Proline hanno un manico in hesacore di serie, carbonio innovativo ed antivibrazioni integrato."
2021-03-12-collezione-dropshot-2021,Dropshot,2021-03-12,/images/wiki/brands/dropshot.jpg,news,saint,dropshot,"Uno dei brand più storici del mondo del padel, rinnova la propria collezione annualmente, offrendo uno dei migliori rapporti qualità/prezzo per le proprie racchette."
2021-03-19-collezione-head-2021,Head,2021-03-19,/images/wiki/brands/head.jpg,news,saint,head,"Altro brand che, dall'ingresso nel mondo del padel, punta sull’innovazione delle proprie collezioni. Le nuove collezione hanno formati esagonali ed incorporano il grafene nella struttura."
2021-03-26-collezione-nox-2021,Nox,2021-03-26,/images/wiki/brands/nox.jpg,news,saint,nox,Qualità ed accessibilità per uno dei marchi più apprezzati dai giocatori di tutte le categorie. Modelli storici come la serie ML ed innovazione come la partnership con il World Padel Tour. 
2021-04-03-collezione-starvie-2021,Starvie,2021-04-03,/images/wiki/brands/starvie.jpg,news,saint,starvie,"Qualità made in Spain per un brand che produce modelli di altà qualità per giocatori di attacco e di difesa. Potenza e manegevolezza per gli amati modelli Raptor e Warrior, rinnovati annualmente."
2021-04-10-collezione-wilson-2021,Wilson,2021-04-10,/images/wiki/brands/wilson.jpg,news,saint,wilson,"Nel padel Wilson è ormai sinonimo di Belasteguin. Tre modelli per la stagione 2021 ispirati al Rey Bela, ideati con il suo aiuto per creare un prodotto top del mercato."
2021-04-17-collezione-black-crown-2021,Black-Crown,2021-04-17,/images/wiki/brands/black-crown.jpg,news,saint,black-crown,"Storica impresa spagnola ad organizzazione familiare produce racchette da Padel dal 2006. Dalla passione alla professionalità di Black Crown, attraverso un’evoluzione negli anni, nasce il modello più famoso Piton, in nove versioni annuali più altre edizioni speciali. "
2021-04-24-collezione-vibor-a-2021,Vibor-A,2021-04-24,/images/wiki/brands/vibor-a.jpg,news,saint,vibor-a,"Questo brand spagnolo ha puntato da subito su un look unico ed un’eccellente qualità dei propri prodotti. Le racchette Vibor-a sono caratterizzate da una potenza unica, unita ad un’ottima manegevolezza e morbidezza. Quasi tutte le racchette si trovano in una fascia di prezzo alta, data anche la qualità delle singole racchette. "
2021-04-31-collezione-prince-2021,Prince,2021-04-31,/images/wiki/brands/prince.jpg,news,saint,prince,"Marchio americano fondato negli anni 70 del secolo scorso, produce accessori sportivi per diverse discipline come tennis, squash, badminton e da qualche anno anche racchette da Padel, fornendo racchette, palline da padel, overgrip e borsoni. "
